"";"articles.title";"articles.description";"articles.content";"articles.publishedAt"
"67";"Bad news for gamers: GPU prices expected to go up 25% due to Trump tariffs";"If you're waiting for supplies to normalize before upgrading to a new GPU from AMD or Nvidia, be prepared to pay 25% more due to Trump's import tariffs.";"As if the shortage of graphics cards from AMD and Nvidia in 2020 wasn’t already bad enough, gamers who were unable to purchase a GPU last year may find that their coveted PC component will cost more … [+2709 chars]";"2021-01-08T00:25:07Z"
"68";"Lucky Winners Of Newegg's Raffle Get To Pay Full Price For PC Parts";"A lottery for prized graphics cards and processors went up briefly on PC part seller Newegg’s site yesterday. It’s a testament to the ongoing shortage of all things gaming during the ongoing covid-19 pandemic.Read more...";"A lottery for prized graphics cards and processors went up briefly on PC part seller Neweggs site yesterday. Its a testament to the ongoing shortage of all things gaming during the ongoing covid-19 p… [+2168 chars]";"2021-01-21T17:15:00Z"
"69";"Recommended Reading: The best long-form stories of 2020";"On a semi-weekly basis, we compile a collection of the best long-form stories on tech, tech culture and more. We’ve collected a list of the best selections from 2020 for you to revisit — or enjoy for the first time — as we finish up one dumpster fire of a yea…";"One of the biggest sports stories of the year broke in mid-January. Major League Baseball determined the Houston Astros used various methods, including video feeds, to steal signs from the opposition… [+5650 chars]";"2020-12-26T15:00:44Z"
"70";"NHTSA wants Tesla to recall 158,000 Tegra 3-equipped vehicles";"Years ago, Tesla touted that the large touchscreens in its electric vehicles were powered by an NVIDIA Tegra 3 chipset. However, as configured in certain cars, the infotainment setup has a known issue that causes the 8GB eMMC NAND flash memory device to wear …";"However, the feds, in the form of NHTSA, aren’t satisfied by that strategy and sent a letter (PDF) to Tesla today urging the company to institute a recall that would notify owners158,000 Model S and … [+852 chars]";"2021-01-14T04:08:26Z"
"71";"Nvidia’s Game On CES 2021 announcements: How to watch and what to expect";"Nvidia confirmed that it will be hosting its GeForce RTX: Game On keynote at CES 2021. Here's how to tune in to the announcement for the latest gaming news.";"Having had a successful launch of its desktop GeForce RTX 3000 series graphics card, Nvidia is kicking off 2021 with a CES announcement that focuses on gaming. The company announced that it will be h… [+3054 chars]";"2021-01-08T20:00:08Z"
"72";"The Morning After: CES 2021 kicks off today";"After a week of several companies revealing their hand a little early, the once-Las Vegas-based CES goes online for 2021, and officially kicks off today. Judging from what we’ve seen and heard already, it’s likely to be a quieter show than normal, as many sma…";"After a week of several companies revealing their hand a little early, the once-Las Vegas-based CES goes online for 2021, and officially kicks off today. 
Judging from what we’ve seen and heard alre… [+4264 chars]";"2021-01-11T12:30:24Z"
"73";"KFC Introduces Video Game Console That Keeps Your Chicken Pieces Warm";"This artifact was built in collaboration with Cooler Master.";"December
24, 2020
2 min read
This article was translated from our Spanish edition using AI technologies. Errors may exist due to this process.
Do you remember the KFC Console, the chicken console… [+1143 chars]";"2020-12-24T00:53:26Z"
"74";"Outside the Box: With Gelsinger as new CEO, Intel gets an engineer who can bring back innovation";"Pat Gelsinger, with eight patents to his name, will aim to narrow the gap to competitors AMD and Nvidia.";"It wasnt hard to sense that change was on the horizon for Intel. After a tumultuous few weeks for the company, including the well-documented memo from activist investor Dan Loeb, it would be difficul… [+5984 chars]";"2021-01-14T12:47:00Z"
"75";"CES 2021: Asus ROG Strix Scar 17 gaming laptop boasts world's fastest laptop display - CNET";"And it has high-performance components from AMD and Nvidia to match.";"Asus Strix Scar 15
This story is part of CES, where our editors will bring you the latest news and the hottest gadgets of the entirely virtual CES 2021.
While more gaming laptops are being made wit… [+3375 chars]";"2021-01-12T18:40:07Z"
"76";"Acer Predator Triton 300 SE hands-on review: Gaming laptops are growing up";"At CES 2021, Acer has announced one of the most exciting gaming laptops in recent years, the 14-inch Predator Triton 300 SE, powered by the Nvidia RTX 3060.";"The Triton 300 SE is not a Predator laptop I thought I’d ever see. If I wasn’t holding it in my own hands, I wouldn’t have believed it could exist. The Predator brand is most known for its bulky, una… [+6039 chars]";"2021-01-12T17:45:11Z"
"77";"Qualcomm acquires chip startup NUVIA to beat Apple and Intel in the 5G era";"Qualcomm says it will integrate NUVIA CPUs with Snapdragon to take computing performance to a new level.



What you need to know


Qualcomm Technologies is acquiring chip startup NUVIA for $1.8 billion.
The startup was founded by three of Apple's former top …";"Qualcomm today announced that it has acquired chip startup NUVIA in a $1.8 billion cash deal. The chipmaker expects the NUVIA acquisition to help it cement its Snapdragon technology leadership and co… [+1619 chars]";"2021-01-13T15:08:29Z"
"78";"Qualcomm to Acquire Chip Startup Nuvia, Founded by Ex-Apple Chip Designers, for $1.4 Billion";"Qualcomm has reached an agreement to acquire Nuvia, a chip startup company founded by former Apple chip designers, for $1.4 billion, in an effort to compete with Apple and Intel (via Reuters).







Nuvia was founded by three former Apple chip designers that…";"Qualcomm has reached an agreement to acquire Nuvia, a chip startup company founded by former Apple chip designers, for $1.4 billion, in an effort to compete with Apple and Intel (via Reuters).
Nuvia… [+1379 chars]";"2021-01-13T16:19:24Z"
"79";"NVIDIA GeForce RTX 30 Series Mobile GPUs for laptops officially announced";"After various reports, rumors, and leaks, NVIDIA has finally brought the RTX 30-series GPUs to notebooks. With the desktop GPU range hitting off with a solid start albeit short supplies, NVIDIA says that its new mobile GPUs will launch on over 70 laptops thro…";"After various reports, rumors, and leaks, NVIDIA has finally brought the RTX 30-series GPUs to notebooks. With the desktop GPU range hitting off with a solid start albeit short supplies, NVIDIA says … [+3151 chars]";"2021-01-12T19:18:12Z"
"80";"Asus ROG Zephyrus Duo 15 SE is a dual-display gaming beast for $2,899 - CNET";"The special edition announced for CES 2021 will feature new display options and the latest AMD processors and Nvidia graphics.";"Asus ROG Zephyrus Duo 15 SE
Asus
This story is part of CES, where our editors will bring you the latest news and the hottest gadgets of the entirely virtual CES 2021.
As part of PC and component m… [+1420 chars]";"2021-01-12T18:50:23Z"
"81";"NVIDIA's RTX 3060 is twice as fast as GTX 1060 and costs just $329";"The RTX 3060 offers an easier upgrade path if you're using a GTX-series card.



What you need to know


NVIDIA has unveiled the RTX 3060, with the card delivering noticeable gains over the GTX 1060.
NVIDIA says you'll be able to play demanding titles with RT…";"NVIDIA unveiled the RTX 30 series with the $499 RTX 3070, $699 RTX 3080, and the beastly $1,499 RTX 3090, and rolled out the $399 RTX 3060 Ti that held its own against the last-gen RTX 2080.
If you'… [+1793 chars]";"2021-01-12T17:30:03Z"
"82";"NVIDIA RTX 3060 GPU Announcement - CES 2021";"At CES 2021, NVIDIA announced the RTX 3060, a graphics card featuring RTX on at 60 fps. With a starting price at $329, the NVIDIA RTX 3060 aims to be available late February 2021.";"Nvidia announced today the RTX 3060, a graphics card featuring RTX on at 60 fps. With a starting price at $329, the NVIDIA RTX 3060 aims to be available late February 2021.
<ol><li>13 shader-TFLOPs<… [+185 chars]";"2021-01-12T18:32:00Z"
"83";": Nvidia’s $40 billion takeover of Arm to be investigated by U.K. competition regulator";"The U.K. competition regulator said on Wednesday that it would investigate Nvidia’s $40 billion takeover of Arm, the largest-ever deal in the semiconductor industry.";"The U.K. competition regulator said on Wednesday that it would investigate Nvidias $40 billion takeover of Arm, the largest-ever deal in the semiconductor industry, which would make Nvidia a strong c… [+3481 chars]";"2021-01-06T16:36:00Z"
"84";"The Stand-Out Laptops of CES 2021";"It was definitely strange not being able to hold, type on, or touch the brand new laptop screens at CES as we would have in pre-covid times. There’s only so much you can tell about a product you only see or read about online, so that tangibility is an absolut…";"It was definitely strange not being able to hold, type on, or touch the brand new laptop screens at CES as we would have in pre-covid times. Theres only so much you can tell about a product you only … [+9119 chars]";"2021-01-15T22:40:00Z"
"85";"CES 2021 computing: What to expect from AMD, Nvidia, and more";"CES 2021 will be a big moment for PC hardware. Here's everything we're expecting from the biggest names in computing.";"CES is always an important moment in the computing world. It often starts with new hardware coming from Intel, AMD, and Nvidia, with a focus primarily on the mobile side of things. CES 2021 is bound … [+4024 chars]";"2020-12-30T21:44:28Z"
"86";"NVIDIA launches new RTX 30 series GPUs for laptops";"Say hello to NVIDIA's new RTX 30 series GPUs for laptops.



What you need to know


NVIDIA announces new GeForce 30 series GPUs for laptops with vast performance and efficiency improvements.
The new range of portable graphics cards include the RTX 3060, RTX …";"NVIDIA announced more than 70 new laptops will be powered by GeForce 30 series graphics processing. The company is bringing the 30 series from the desktop-class family to the portable range of hardwa… [+2567 chars]";"2021-01-12T17:30:03Z"
"87";"The Nvidia RTX 3080 is pushing gaming laptops toward a resolution revolution";"A new generation of gaming laptops is arriving, and thanks to Nvidia's new RTX 3080, we may finally get to kiss 1080p gaming goodbye.";"If given the choice between more pixels or faster frame refreshes, most gamers will always opt for refresh rate. It’s how we ended up with 1080p gaming laptops offering ridiculous 360Hz screens.
But… [+2756 chars]";"2021-01-12T17:45:19Z"
"88";"Exclusive: Hedge fund Third Point urges Intel to explore deal options - Reuters UK";"Activist hedge fund Third Point LLC is pushing Intel Corp to explore strategic alternatives, including whether it should remain an integrated device manufacturer, according to a letter it sent to the chipmaker's chairman on Tuesday that was reviewed by Reuter…";"(Reuters) - Activist hedge fund Third Point LLC is pushing Intel Corp to explore strategic alternatives, including whether it should remain an integrated device manufacturer, according to a letter it… [+2418 chars]";"2020-12-29T17:35:00Z"
"89";"Exclusive: Hedge fund Third Point urges Intel to explore deal options - Reuters";"Activist hedge fund Third Point LLC is pushing Intel Corp to explore strategic alternatives, including whether it should remain an integrated device manufacturer, according to a letter it sent to the chipmaker's chairman on Tuesday that was reviewed by Reuter…";"(Reuters) - Activist hedge fund Third Point LLC is pushing Intel Corp to explore strategic alternatives, including whether it should remain an integrated device manufacturer, according to a letter it… [+2424 chars]";"2020-12-29T17:34:00Z"
"90";"You can now pair your PlayStation 5 or Xbox Series X/S controller to the NVIDIA SHIELD TV";"If you own an NVIDIA Shield TV, you’ll be greeted by a nice update today. NVIDIA is rolling out a Shield Experience Upgrade (version 8.2.2) that introduces support for PlayStation 5 and Xbox Series X/S controllers, giving you more ways to game on the set top …";"If you own an NVIDIA Shield TV, youll be greeted by a nice update today. NVIDIA is rolling out a Shield Experience Upgrade (version 8.2.2) that introduces support for PlayStation 5 and Xbox Series X/… [+1771 chars]";"2021-01-19T20:50:18Z"
"91";"US STOCKS-Futures edge higher as focus turns to earnings season - Reuters";"U.S. stock index futures resumed their climb on Tuesday as investors looked to the earnings season this week for clues on the health of Corporate America and the economy while awaiting details on the next package of official economic stimulus.";"(Reuters) - U.S. stock index futures resumed their climb on Tuesday as investors looked to the earnings season this week for clues on the health of Corporate America and the economy while awaiting de… [+2311 chars]";"2021-01-12T12:31:00Z"
"92";"Qualcomm eyes challenge to Apple, Intel with $1.4 billion deal for chip startup - Reuters";"Qualcomm Inc on Wednesday said it will acquire Nuvia Inc, a chip startup founded by Apple Inc veterans, for $1.4 billion, with plans to put the firm's technology into its smartphone, laptop and automotive processors.";"(Reuters) - Qualcomm Inc on Wednesday said it will acquire Nuvia Inc, a chip startup founded by Apple Inc veterans, for $1.4 billion, with plans to put the firms technology into its smartphone, lapto… [+2354 chars]";"2021-01-13T13:07:00Z"
"93";"Futures edge higher as focus turns to earnings season - Reuters";"U.S. stock index futures resumed their climb on Tuesday as investors looked to the earnings season this week for clues on the health of Corporate America and the economy while awaiting details on the next package of official economic stimulus.";"(Reuters) - U.S. stock index futures resumed their climb on Tuesday as investors looked to the earnings season this week for clues on the health of Corporate America and the economy while awaiting de… [+2311 chars]";"2021-01-12T12:34:00Z"
"94";"The NVIDIA GeForce CES 2021 Live Blog: Game On";"Kicking off in a few minutes is NVIDIA's keynote for CES 2021. Dubbed “GeForce RTX: Game On”, the keynote is going to be presented by Jeff Fisher, NVIDIA’s Senior VP for GeForce.

NVIDIA has not given us any concrete messages about what to expect from today's…";"Kicking off in a few minutes is NVIDIA's keynote for CES 2021. Dubbed “GeForce RTX: Game On”, the keynote is going to be presented by Jeff Fisher, NVIDIA’s Senior VP for GeForce.
NVIDIA has not give… [+525 chars]";"2021-01-12T15:45:00Z"
"95";"NVIDIA Reveals GeForce RTX 3060: Launching Late February For $329";"Alongside today’s CES-centric announcement of their new GeForce RTX 30 series parts for laptops, NVIDIA also offered an in-depth reveal of their next desktop graphics card, the GeForce RTX 3060. Reflected the continued progression of the Ampere architecture i…";"Alongside today’s CES-centric announcement of their new GeForce RTX 30 series parts for laptops, NVIDIA also offered an in-depth reveal of their next desktop graphics card, the GeForce RTX 3060. Refl… [+10794 chars]";"2021-01-12T20:40:00Z"
"96";"Nvidia at CES 2021: RTX 3060 desktop, RTX laptop chips it says outperform Sony's PS5 - CNET";"The chip giant unveiled its latest RTX desktop graphics chip, and its first new laptop graphics chips.";"This story is part of CES, where our editors will bring you the latest news and the hottest gadgets of the entirely virtual CES 2021.
The fall was undoubtedly the time of desktop computers. Many gam… [+2362 chars]";"2021-01-12T17:46:00Z"
"97";"Nvidia at CES 2021: RTX 3060, RTX 30-series laptop chips it says outperform Sony's PS5 - CNET";"The chip giant unveiled its latest RTX 30-series desktop graphics chip, and its first new laptop graphics chips.";"This story is part of CES, where our editors will bring you the latest news and the hottest gadgets of the entirely virtual CES 2021.
The fall was undoubtedly the time of desktop computers. Many gam… [+1847 chars]";"2021-01-12T17:46:39Z"
"98";"Nvidia Shield TV can now use PlayStation 5 and Xbox Series X/S controllers";"The system update also includes security fixes and Control4 home automation support

The Xbox Series X/S and PlayStation 5 started arriving on store shelves a few months ago, but both consoles have been incredibly difficult to find. If you've been lucky enoug…";"The Xbox Series X/S and PlayStation 5 started arriving on store shelves a few months ago, but both consoles have been incredibly difficult to find. If you've been lucky enough to score one, or you ju… [+768 chars]";"2021-01-19T20:05:28Z"
"99";"Finish your shopping and save money at Best Buy's Last Second Savings Event";"Different year, same result. You waited until the very end of the year to start your shopping. It's okay, we've all been there. Whether you have zero items and haven't even thought about it or just need to round out whomever is left with a few good trinkets, …";"Different year, same result. You waited until the very end of the year to start your shopping. It's okay, we've all been there. Whether you have zero items and haven't even thought about it or just n… [+2071 chars]";"2020-12-22T12:47:29Z"
"100";"Can you access the Play Store on the Chromecast with Google TV";"Best answer: Yes, your Chromecast with Google TV has access to the Play Store, so you can get your favorite streaming apps as long as they're supported on the platform.

Is the Play Store accessible on the Chromecast with Google TV?

When Google finally relea…";"Source: Joe Maring / Android Central
Best answer: Yes, your Chromecast with Google TV has access to the Play Store, so you can get your favorite streaming apps as long as they're supported on the pl… [+2031 chars]";"2020-12-30T22:00:02Z"
